Row Labels,Average of relHumAvg,Average of spcHumAvg,Average of tempAvg
0,70.2,2.216666667,26.36666667
1,64.34285714,2.042857143,24.9
2,68.81428571,2.714285714,31.72857143
3,64.8,3,36.77142857
4,49.82857143,3.114285714,45.77142857
5,72.82857143,4.342857143,42.75714286
6,79.84285714,4.2,37.45714286
7,86.81428571,5.971428571,46.07142857
8,58.88571429,4.028571429,47
9,55.24285714,4.914285714,52.22857143
10,62.01428571,2.985714286,37.71428571
11,55.01428571,5.6,58.12857143
12,53.15714286,6.628571429,63.58571429
13,64.91428571,5.5,52.77142857
14,62.98571429,6.157142857,54.7
15,80.05714286,9.628571429,61.35714286
16,78.81428571,10.55714286,64.9
17,58.45714286,12.92857143,79.87142857
18,55.87142857,11.55714286,77.6
19,63.24285714,13.04285714,78.07142857
20,65.21428571,12.75714286,75.64285714
21,73.55714286,16.67142857,80.15714286
22,64.91428571,14.81428571,80.64285714
23,70.54285714,15.21428571,78.58571429
24,71.94285714,15.98571429,79.57142857
25,74.14285714,14.3,75.48571429
26,73.11428571,12.75714286,71.81428571
27,73.41428571,15.55714286,78.12857143
28,68.75714286,12.7,74.74285714
29,60.67142857,13.82857143,80.92857143
30,59.88571429,9.714285714,71.15714286
31,79.17142857,8.3,58.18571429
32,69.82857143,9.185714286,64.67142857
33,66.88571429,10.68571429,70.41428571
34,58.51428571,5.4,55.28571429
35,55.64285714,7.385714286,65.28571429
36,49.3,5.142857143,56.84285714
37,81.52857143,4.071428571,37.81428571
38,65.67142857,3.114285714,36.95714286
39,57.68571429,5.471428571,54.68571429
40,75.24285714,4.757142857,41.77142857
41,57.7,3.885714286,46.57142857
42,78.67142857,3.757142857,37.41428571
43,62.37142857,2.528571429,33.17142857
44,73.17142857,3.371428571,36.97142857
45,80.35714286,2.385714286,24.9
46,65.68571429,2.628571429,30.3
47,83.05714286,2.285714286,22.87142857
48,86.32857143,3.2,30.71428571
49,77.68571429,3.271428571,33.82857143
50,70.22857143,2.542857143,29.98571429
51,84.9,2.542857143,24.78571429
52,88,2.733333333,26.66666667
Grand Total,68.27103825,7.118579235,52.93415301
